DATE,VALUE
1998-01-01,1.0
1998-04-01,1.0
1998-07-01,1.3
1998-10-01,1.6
1999-01-01,0.8
1999-04-01,0.8
1999-07-01,1.3
1999-10-01,1.7
2000-01-01,0.3
2000-04-01,1.9
2000-07-01,0.1
2000-10-01,0.6
2001-01-01,-0.3
2001-04-01,0.5
2001-07-01,-0.3
2001-10-01,0.3
2002-01-01,0.9
2002-04-01,0.6
2002-07-01,0.5
2002-10-01,0.1
2003-01-01,0.5
2003-04-01,0.9
2003-07-01,1.7
2003-10-01,1.2
2004-01-01,0.6
2004-04-01,0.7
2004-07-01,0.9
2004-10-01,0.9
2005-01-01,1.1
2005-04-01,0.5
2005-07-01,0.8
2005-10-01,0.6
2006-01-01,1.2
2006-04-01,0.3
2006-07-01,0.1
2006-10-01,0.8
2007-01-01,0.1
2007-04-01,0.8
2007-07-01,0.7
2007-10-01,0.4
2008-01-01,-0.7
2008-04-01,0.5
2008-07-01,-0.5
2008-10-01,-2.1
2009-01-01,-1.4
2009-04-01,-0.1
2009-07-01,0.3
2009-10-01,1.0
2010-01-01,0.4
2010-04-01,1.0
2010-07-01,0.7
2010-10-01,0.6
2011-01-01,-0.4
2011-04-01,0.7
2011-07-01,0.2
2011-10-01,1.1
2012-01-01,0.7
2012-04-01,0.5
2012-07-01,0.1
2012-10-01,0.0
2013-01-01,0.5
2013-04-01,0.3
2013-07-01,0.7
2013-10-01,0.9
2014-01-01,-0.2
2014-04-01,1.1
2014-07-01,1.0
2014-10-01,0.5
2015-01-01,0.2
2015-04-01,1.0
